region,full_name,school_count,academy_count,academies_per_school
"서울","서울특별시","1415","25493","18.02"
"대구","대구광역시","484","8066","16.67"
"세종","세종특별자치시","109","1726","15.83"
"경기","경기도","2664","39049","14.66"
"울산","울산광역시","255","3674","14.41"
"광주","광주광역시","336","4837","14.40"
"부산","부산광역시","668","9116","13.65"
"인천","인천광역시","582","6911","11.87"
"대전","대전광역시","325","3775","11.62"
"제주","제주특별자치도","201","1773","8.82"
"경남","경상남도","1017","8758","8.61"
"충북","충청북도","514","3455","6.72"
"전북","전북특별자치도","771","4745","6.15"
"경북","경상북도","942","5764","6.12"
"충남","충청남도","756","4467","5.91"
"강원","강원특별자치도","660","3184","4.82"
"전남","전라남도","883","3455","3.91"
